Position,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,KP%,DamagePercent,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,Solo Kills,FlashKeybind
Support,0.333,1.9,0.4,5.1,9.2,1.1,237,0.798,0.07,149,3.9,2.22,0.58,0.63,0,D
Top,0.2,1.2,2.2,3.6,2.2,7.1,356,0.47,0.179,406,0.76,0.35,0.1,0.09,2,D
Adc,0.333,5.9,4.5,1.5,4.3,9.7,438,0.772,0.304,665,1.03,0.45,0.29,0.15,2,F
Support,0.667,2.7,0.4,4.3,11.1,1.1,249,0.66,0.06,150,4.08,2.36,0.57,0.67,0,D
Jungle,0.875,6.8,2.8,1.9,10,6.5,372,0.774,0.151,366,1.51,0.32,0.37,0.27,0,F
Top,0.333,2,2,3.5,4.8,7.3,352,0.572,0.168,364,1.02,0.39,0.23,0.17,2,D
Jungle,0.5,3.6,1,3.3,10.7,5.7,320,0.821,0.123,291,1.65,0.39,0.51,0.25,0,D
Adc,0.7,8.4,4.7,1.4,7.1,9.4,449,0.756,0.281,703,1.33,0.49,0.33,0.17,2,F
Mid,0.5,5.2,4,1.8,5.4,8.6,406,0.717,0.275,621,1.18,0.46,0.25,0.2,1,F
Jungle,0.333,3.1,2,3.2,7.8,6.5,343,0.849,0.192,412,1.66,0.33,0.47,0.15,1,D
Mid,0.625,9.3,4.3,1.3,7.4,9,430,0.692,0.239,536,1.21,0.31,0.32,0.17,0,F
Mid,0.333,3.1,3.6,2.7,4.8,8.2,390,0.66,0.282,621,1.43,0.53,0.32,0.25,3,F
Adc,0.2,1.6,2.6,4,3.8,9.4,416,0.648,0.295,631,1.24,0.36,0.44,0.12,3,F
Jungle,0.615,3.5,1.7,3.4,10.1,5.3,318,0.771,0.15,343,1.68,0.46,0.39,0.34,0,F
Jungle,0.5,4.4,2,2.3,7.9,6,332,0.704,0.135,306,1.74,0.51,0.43,0.38,0,F
Adc,0,1.8,1.8,3,3.8,9.5,385,0.505,0.243,463,1.06,0.45,0.27,0.2,1,F
Jungle,0.5,3.8,2.4,2.4,6.6,6.1,346,0.672,0.15,349,1.69,0.47,0.38,0.32,1,F
Adc,0.5,4.2,5.6,2.5,5,10.5,465,0.755,0.337,782,1.41,0.43,0.42,0.14,2,F
Jungle,0.333,3.1,1,4,11.3,5.5,330,0.806,0.171,440,1.74,0.49,0.43,0.43,0,F
Jungle,0.625,3.9,2.3,3.3,10.5,6,337,0.777,0.133,294,1.72,0.53,0.38,0.32,0,D
Top,0,1.6,3,3.3,2.3,8.1,371,0.543,0.206,394,0.96,0.3,0.31,0.16,0,F
Support,0.2,3.3,1,3.2,9.6,1,237,0.806,0.052,128,3.47,2.03,0.33,0.56,0,F
Mid,0.615,6.2,3.8,1.9,8.1,8.5,413,0.767,0.274,638,1.44,0.5,0.42,0.17,1,D
Jungle,0.778,5.3,2.4,2.4,10.6,6.2,358,0.738,0.15,391,1.58,0.37,0.41,0.35,0,D
Adc,0.5,4.9,3.8,1.8,5,10,448,0.675,0.316,731,1.37,0.42,0.41,0.16,0,D
Jungle,0.375,4.5,3.1,2.4,7.6,6.4,360,0.762,0.184,422,1.89,0.65,0.45,0.22,2,D
Mid,0.5,3.6,3.8,2.8,6.2,9.1,417,0.705,0.283,657,1.35,0.47,0.31,0.24,1,F
Top,0.875,7.1,3.9,1.6,7.6,7.9,420,0.698,0.222,539,1.06,0.39,0.18,0.19,2,F
Top,0.625,3.8,4.6,3.1,7.1,8.2,431,0.71,0.246,560,1.05,0.46,0.18,0.19,2,D
